Song,Uri,Artist,Audio_features
Danza Kuduro (feat. Don Omar),1kAZhbcsXqfUjnVeqPywn2,Lucenzo,"[{'danceability': 0.706, 'energy': 0.89, 'key': 0, 'loudness': -6.575, 'mode': 1, 'speechiness': 0.0847, 'acousticness': 0.0855, 'instrumentalness': 0, 'liveness': 0.0465, 'valence': 0.896, 'tempo': 130.051, 'type': 'audio_features', 'id': '1kAZhbcsXqfUjnVeqPywn2', 'uri': 'spotify:track:1kAZhbcsXqfUjnVeqPywn2', 'track_href': 'https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2', 'duration_ms': 202347, 'time_signature': 4}]"
Syypää sun hymyyn (feat. Yasmine Yamajako),2N2QvMYwyYHE8V4KZbbG4i,Cheek,"[{'danceability': 0.472, 'energy': 0.815, 'key': 9, 'loudness': -4.002, 'mode': 0, 'speechiness': 0.319, 'acousticness': 0.171, 'instrumentalness': 0, 'liveness': 0.265, 'valence': 0.81, 'tempo': 98.017, 'type': 'audio_features', 'id': '2N2QvMYwyYHE8V4KZbbG4i', 'uri': 'spotify:track:2N2QvMYwyYHE8V4KZbbG4i', 'track_href': 'https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2N2QvMYwyYHE8V4KZbbG4i', 'duration_ms': 230413, 'time_signature': 4}]"
Whistle,0ltBH1JNzSvQJPjJpvTu9B,Flo Rida,"[{'danceability': 0.754, 'energy': 0.933, 'key': 0, 'loudness': -5.786, 'mode': 1, 'speechiness': 0.0448, 'acousticness': 0.0199, 'instrumentalness': 0, 'liveness': 0.297, 'valence': 0.75, 'tempo': 103.992, 'type': 'audio_features', 'id': '0ltBH1JNzSvQJPjJpvTu9B', 'uri': 'spotify:track:0ltBH1JNzSvQJPjJpvTu9B', 'track_href': 'https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ltBH1JNzSvQJPjJpvTu9B', 'duration_ms': 225000, 'time_signature': 4}]"
Girlfriend,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,"[{'danceability': 0.56, 'energy': 0.959, 'key': 7, 'loudness': -2.433, 'mode': 1, 'speechiness': 0.102, 'acousticness': 0.000738, 'instrumentalness': 0.000206, 'liveness': 0.209, 'valence': 0.67, 'tempo': 163.983, 'type': 'audio_features', 'id': '5HbCnVLXRyZVxnreOPgJCK', 'uri': 'spotify:track:5HbCnVLXRyZVxnreOPgJCK', 'track_href': 'https://api.spotify.com/v1/tracks/5HbCnVLXRyZVxnreOPgJCK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5HbCnVLXRyZVxnreOPgJCK', 'duration_ms': 216600, 'time_signature': 4}]"
Baby,4NFhtFE68cXUrfbne8JE2c,Justin Bieber,"[{'danceability': 0.463, 'energy': 0.854, 'key': 8, 'loudness': -5.386, 'mode': 1, 'speechiness': 0.32, 'acousticness': 0.0428, 'instrumentalness': 0, 'liveness': 0.0922, 'valence': 0.567, 'tempo': 65.038, 'type': 'audio_features', 'id': '4NFhtFE68cXUrfbne8JE2c', 'uri': 'spotify:track:4NFhtFE68cXUrfbne8JE2c', 'track_href': 'https://api.spotify.com/v1/tracks/4NFhtFE68cXUrfbne8JE2c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4NFhtFE68cXUrfbne8JE2c', 'duration_ms': 216520, 'time_signature': 4}]"
I Cry,5HE3z4Ew7wZ91l3ZOpGKa4,Flo Rida,"[{'danceability': 0.693, 'energy': 0.822, 'key': 4, 'loudness': -5.441, 'mode': 0, 'speechiness': 0.0439, 'acousticness': 0.00616, 'instrumentalness': 1.79e-06, 'liveness': 0.315, 'valence': 0.763, 'tempo': 126.035, 'type': 'audio_features', 'id': '5HE3z4Ew7wZ91l3ZOpGKa4', 'uri': 'spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4', 'track_href': 'https://api.spotify.com/v1/tracks/5HE3z4Ew7wZ91l3ZOpGKa4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5HE3z4Ew7wZ91l3ZOpGKa4', 'duration_ms': 223800, 'time_signature': 4}]"
Coconut Tree,5L9THbmMKB6ZlHlMgzaXHf,Mohombi,"[{'danceability': 0.687, 'energy': 0.855, 'key': 7, 'loudness': -5.341, 'mode': 0, 'speechiness': 0.0416, 'acousticness': 0.0486, 'instrumentalness': 0, 'liveness': 0.233, 'valence': 0.647, 'tempo': 130.029, 'type': 'audio_features', 'id': '5L9THbmMKB6ZlHlMgzaXHf', 'uri': 'spotify:track:5L9THbmMKB6ZlHlMgzaXHf', 'track_href': 'https://api.spotify.com/v1/tracks/5L9THbmMKB6ZlHlMgzaXHf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5L9THbmMKB6ZlHlMgzaXHf', 'duration_ms': 218373, 'time_signature': 4}]"
One Less Lonely Girl,7qUcqYzOtfZe65bednDxmz,Justin Bieber,"[{'danceability': 0.58, 'energy': 0.75, 'key': 4, 'loudness': -4.421, 'mode': 1, 'speechiness': 0.194, 'acousticness': 0.159, 'instrumentalness': 0, 'liveness': 0.274, 'valence': 0.728, 'tempo': 86.938, 'type': 'audio_features', 'id': '7qUcqYzOtfZe65bednDxmz', 'uri': 'spotify:track:7qUcqYzOtfZe65bednDxmz', 'track_href': 'https://api.spotify.com/v1/tracks/7qUcqYzOtfZe65bednDxmz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qUcqYzOtfZe65bednDxmz', 'duration_ms': 229107, 'time_signature': 4}]"
Romeo ja Julia (feat. Sophie),0seHreoI3kwp38OlEgLLnT,Pikku G,"[{'danceability': 0.695, 'energy': 0.628, 'key': 11, 'loudness': -6.498, 'mode': 0, 'speechiness': 0.0442, 'acousticness': 0.0539, 'instrumentalness': 0, 'liveness': 0.32, 'valence': 0.529, 'tempo': 144.114, 'type': 'audio_features', 'id': '0seHreoI3kwp38OlEgLLnT', 'uri': 'spotify:track:0seHreoI3kwp38OlEgLLnT', 'track_href': 'https://api.spotify.com/v1/tracks/0seHreoI3kwp38OlEgLLnT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0seHreoI3kwp38OlEgLLnT', 'duration_ms': 236200, 'time_signature': 4}]"
Don't You Worry Child - Radio Edit,5DcPOPPUnNhyPYbTi2aWjR,Swedish House Mafia,"[{'danceability': 0.608, 'energy': 0.828, 'key': 2, 'loudness': -3.597, 'mode': 1, 'speechiness': 0.051, 'acousticness': 0.125, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.484, 'tempo': 128.919, 'type': 'audio_features', 'id': '5DcPOPPUnNhyPYbTi2aWjR', 'uri': 'spotify:track:5DcPOPPUnNhyPYbTi2aWjR', 'track_href': 'https://api.spotify.com/v1/tracks/5DcPOPPUnNhyPYbTi2aWjR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5DcPOPPUnNhyPYbTi2aWjR', 'duration_ms': 212841, 'time_signature': 4}]"
